Time,atrium,kitchen,livingroom,toilet,bedroom,Room,bel(A),bel(K),bel(L),bel(T),bel(B)
141.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
142.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
143.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
144.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
145.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
146.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
147.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
148.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
149.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
150.0,0,0,1,0,0,livingroom,0.2,0.2,0.2,0.2,0.2
151.0,1,0,1,0,0,atrium,0.9658536585365853,0.008536585365853657,0.008536585365853657,0.008536585365853657,0.008536585365853657
152.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
153.0,1,1,1,0,0,atrium,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
154.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
155.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
156.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
157.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
158.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
159.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
160.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
161.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
162.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
163.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
164.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
165.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
166.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
167.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
168.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
169.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
170.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
