Time,atrium,kitchen,livingroom,toilet,bedroom,bel(A),bel(K),bel(L),bel(T),bel(B)
718.0,1,0,0,0,0,0.44291356036702223,0.13927160990887485,0.13927160990874216,0.13927160990874216,0.13927160990661883
719.0,1,0,0,0,0,0.44291333870090405,0.13927166532487562,0.13927166532474292,0.13927166532474292,0.13927166532473462
720.0,1,0,0,0,0,0.4429133985507559,0.1392716503623135,0.13927165036231298,0.13927165036231298,0.13927165036230468
721.0,1,0,0,0,0,0.44291338239129585,0.1392716544021764,0.1392716544021759,0.1392716544021759,0.13927165440217587
722.0,1,0,0,0,0,0.44291338675435016,0.13927165331141245,0.13927165331141245,0.13927165331141247,0.13927165331141245
723.0,1,0,0,0,0,0.44291338557632537,0.13927165360591864,0.13927165360591864,0.13927165360591864,0.13927165360591864
724.0,1,0,0,0,0,0.4429133858943921,0.13927165352640195,0.13927165352640195,0.13927165352640195,0.13927165352640195
725.0,1,0,0,0,0,0.4429133858085141,0.13927165354787147,0.13927165354787147,0.13927165354787147,0.13927165354787147
726.0,1,0,0,0,0,0.44291338583170115,0.1392716535420747,0.1392716535420747,0.1392716535420747,0.1392716535420747
727.0,1,0,0,0,0,0.44291338582544076,0.13927165354363985,0.13927165354363985,0.13927165354363985,0.13927165354363985
728.0,1,0,0,0,0,0.442913385827131,0.13927165354321727,0.13927165354321727,0.13927165354321727,0.13927165354321727
729.0,1,0,0,0,0,0.44291338582667455,0.13927165354333138,0.13927165354333138,0.13927165354333135,0.13927165354333135
730.0,1,0,0,0,0,0.44291338582679796,0.13927165354330057,0.13927165354330057,0.13927165354330057,0.13927165354330057
731.0,1,0,0,0,0,0.4429133858267644,0.13927165354330887,0.13927165354330887,0.13927165354330887,0.13927165354330884
732.0,1,0,0,0,0,0.4429133858267737,0.13927165354330662,0.1392716535433066,0.1392716535433066,0.1392716535433066
733.0,1,0,0,0,0,0.4429133858267712,0.13927165354330726,0.13927165354330726,0.13927165354330726,0.13927165354330728
734.0,1,0,0,0,0,0.44291338582677187,0.13927165354330703,0.13927165354330706,0.13927165354330706,0.13927165354330706
735.0,1,0,0,0,0,0.4429133858267716,0.1392716535433071,0.1392716535433071,0.1392716535433071,0.1392716535433071
736.0,1,0,0,0,0,0.44291338582677175,0.13927165354330706,0.13927165354330706,0.13927165354330706,0.13927165354330706
737.0,1,1,0,0,0,0.40905511811023626,0.2747047244094489,0.10541338582677166,0.10541338582677166,0.10541338582677168
738.0,1,1,0,0,0,0.4231062992125984,0.2554266732283464,0.11068257874015747,0.11068257874015747,0.10010187007874013
